"Age" "Lx.1933" "Lx.1934" "Lx.1935" "Lx.1936" "Lx.1937" "Lx.1938" "Lx.1939" "Lx.1940" "Lx.1941" "Lx.1942" "Lx.1943" "Lx.1944" "Lx.1945" "Lx.1946" "Lx.1947" "Lx.1948" "Lx.1949" "Lx.1950" "Lx.1951" "Lx.1952" "Lx.1953" "Lx.1954" "Lx.1955" "Lx.1956" "Lx.1957" "Lx.1958" "Lx.1959" "Lx.1960" "Lx.1961" "Lx.1962" "Lx.1963" "Lx.1964" "Lx.1965" "Lx.1966" "Lx.1967" "Lx.1968" "Lx.1969" "Lx.1970" "Lx.1971" "Lx.1972" "Lx.1973" "Lx.1974" "Lx.1975" "Lx.1976" "Lx.1977" "Lx.1978" "Lx.1979" "Lx.1980" "Lx.1981" "Lx.1982" "Lx.1983" "Lx.1984" "Lx.1985" "Lx.1986" "Lx.1987" "Lx.1988" "Lx.1989" "Lx.1990" "Lx.1991" "Lx.1992" "Lx.1993" "Lx.1994" "Lx.1995" "Lx.1996" "Lx.1997" "Lx.1998" "Lx.1999" "Lx.2000" "Lx.2001" "Lx.2002" "Lx.2003" "Lx.2004" "Lx.2005" "Lx.2006" "Lx.2007" "Lx.2008" "Lx.2009" "Lx.2010" "Lx.2011" "Lx.2012" "Lx.2013" "Lx.2014" "Lx.2015" "Lx.2016" "Lx.2017" "Lx.2018" "Lx.2019" "Lx.2020" "Lx.2021" "Lx.2022" "Lx.2023"
"1" 0 96130 95847 96161 96082 96144 96303 96512 96512 96556 96759 96940 96976 97097 97031 97459 97503 97514 97675 97698 97700 97794 97882 97930 97967 97954 97946 97999 98034 98097 98116 98120 98127 98180 98227 98299 98321 98365 98392 98550 98634 98673 98703 98769 98817 98909 98941 98986 99014 99076 99110 99142 99154 99177 99204 99209 99208 99200 99258 99298 99326 99343 99360 99396 99411 99425 99411 99430 99441 99465 99454 99464 99463 99456 99456 99454 99472 99494 99517 99527 99531 99540 99542 99539 99543 99555 99570 99569 99587 99560 99560 99567
"2" 1 94374 93765 94456 94319 94447 94762 95198 95228 95307 95683 95966 96052 96257 96168 96816 96892 96911 97141 97163 97171 97310 97435 97502 97549 97530 97523 97598 97643 97729 97753 97759 97767 97841 97898 97997 98022 98081 98118 98307 98400 98441 98478 98552 98607 98710 98743 98796 98830 98899 98939 98976 98991 99019 99048 99055 99052 99043 99112 99156 99190 99210 99231 99273 99291 99310 99294 99317 99331 99357 99347 99359 99355 99350 99348 99345 99367 99395 99420 99432 99437 99448 99451 99448 99452 99466 99485 99482 99504 99470 99470 99479
"3" 2 93767 93090 93886 93754 93903 94255 94791 94860 94949 95382 95653 95774 96014 95945 96620 96710 96739 96980 96990 97002 97160 97295 97370 97417 97395 97389 97474 97517 97609 97633 97640 97650 97727 97786 97893 97916 97980 98022 98215 98311 98351 98395 98471 98528 98633 98667 98724 98759 98830 98872 98912 98930 98959 98987 98996 98994 98983 99059 99099 99138 99157 99182 99226 99248 99269 99253 99278 99293 99319 99312 99324 99319 99315 99312 99310 99333 99363 99388 99401 99407 99418 99423 99419 99422 99439 99457 99455 99479 99440 99438 99448
"4" 3 93444 92741 93580 93445 93612 93993 94576 94664 94760 95215 95477 95608 95869 95814 96503 96591 96630 96879 96886 96896 97062 97204 97284 97336 97311 97304 97394 97435 97531 97554 97561 97576 97651 97711 97824 97845 97910 97956 98149 98246 98289 98337 98415 98475 98580 98616 98675 98710 98783 98824 98870 98888 98919 98947 98956 98954 98945 99024 99061 99104 99121 99148 99194 99218 99241 99225 99251 99268 99293 99289 99297 99295 99293 99288 99287 99312 99341 99369 99381 99386 99399 99405 99400 99402 99421 99439 99436 99461 99420 99416 99427
"5" 4 93206 92499 93343 93220 93404 93805 94414 94520 94619 95083 95344 95481 95754 95712 96414 96500 96545 96798 96809 96812 96983 97136 97215 97272 97245 97236 97330 97370 97470 97495 97499 97518 97593 97651 97770 97790 97852 97904 98097 98196 98242 98290 98370 98434 98540 98577 98635 98675 98748 98789 98839 98857 98890 98916 98924 98923 98915 98996 99033 99079 99094 99122 99169 99193 99219 99204 99229 99248 99273 99270 99278 99277 99277 99271 99270 99294 99324 99353 99365 99370 99384 99390 99385 99386 99406 99425 99422 99447 99405 99398 99410
"6" 5 93016 92310 93144 93038 93238 93653 94279 94401 94506 94975 95235 95373 95652 95627 96338 96427 96475 96732 96741 96743 96920 97080 97159 97215 97191 97180 97274 97315 97417 97443 97447 97468 97543 97600 97723 97744 97804 97858 98051 98154 98200 98252 98333 98398 98505 98543 98601 98644 98719 98760 98812 98832 98865 98891 98900 98897 98889 98973 99011 99057 99072 99100 99148 99174 99199 99186 99212 99231 99256 99253 99262 99261 99262 99256 99256 99280 99310 99342 99352 99357 99371 99377 99373 99372 99394 99413 99409 99436 99392 99384 99396
"7" 6 92853 92147 92976 92885 93098 93524 94165 94297 94409 94884 95140 95282 95563 95551 96269 96364 96416 96675 96678 96682 96870 97031 97110 97166 97144 97132 97226 97268 97373 97397 97401 97426 97501 97557 97683 97702 97764 97818 98009 98115 98161 98218 98300 98366 98476 98513 98571 98615 98692 98734 98787 98811 98840 98870 98879 98875 98866 98951 98990 99038 99052 99082 99130 99157 99181 99171 99196 99216 99242 99239 99248 99246 99248 99242 99244 99268 99297 99331 99340 99346 99359 99366 99362 99360 99383 99402 99397 99425 99381 99372 99384
"8" 7 92709 92002 92830 92750 92974 93410 94068 94205 94320 94806 95054 95203 95487 95482 96209 96305 96363 96625 96625 96626 96825 96991 97069 97124 97102 97092 97184 97227 97334 97357 97363 97389 97463 97520 97647 97665 97728 97783 97973 98079 98125 98188 98271 98338 98450 98485 98547 98589 98668 98711 98764 98789 98818 98850 98858 98856 98846 98932 98972 99021 99033 99064 99113 99141 99165 99156 99181 99202 99228 99227 99235 99234 99233 99230 99231 99257 99286 99321 99330 99337 99349 99357 99351 99349 99372 99393 99386 99415 99370 99360 99373
"9" 8 92579 91871 92703 92631 92863 93308 93984 94123 94240 94737 94976 95133 95419 95419 96156 96251 96311 96578 96582 96579 96781 96951 97034 97088 97064 97056 97149 97191 97299 97322 97329 97355 97430 97488 97614 97631 97695 97753 97942 98046 98094 98160 98245 98312 98425 98460 98524 98566 98645 98689 98743 98769 98799 98831 98839 98836 98826 98916 98955 99006 99014 99047 99097 99125 99150 99141 99166 99188 99214 99214 99223 99222 99220 99218 99219 99246 99276 99311 99320 99328 99339 99348 99341 99338 99362 99383 99377 99405 99360 99350 99363
"10" 9 92463 91752 92588 92522 92762 93215 93907 94048 94168 94675 94904 95069 95356 95360 96109 96201 96262 96533 96544 96541 96744 96911 97001 97058 97030 97024 97117 97157 97269 97291 97299 97324 97400 97457 97584 97600 97664 97725 97915 98017 98065 98134 98221 98289 98401 98436 98501 98543 98625 98669 98724 98750 98781 98813 98821 98817 98808 98900 98938 98991 98997 99032 99083 99109 99136 99128 99152 99175 99202 99201 99210 99210 99208 99207 99207 99236 99266 99301 99309 99318 99330 99339 99332 99328 99351 99372 99367 99397 99351 99339 99353
