"Age" "Lx.1933" "Lx.1934" "Lx.1935" "Lx.1936" "Lx.1937" "Lx.1938" "Lx.1939" "Lx.1940" "Lx.1941" "Lx.1942" "Lx.1943" "Lx.1944" "Lx.1945" "Lx.1946" "Lx.1947" "Lx.1948" "Lx.1949" "Lx.1950" "Lx.1951" "Lx.1952" "Lx.1953" "Lx.1954" "Lx.1955" "Lx.1956" "Lx.1957" "Lx.1958" "Lx.1959" "Lx.1960" "Lx.1961" "Lx.1962" "Lx.1963" "Lx.1964" "Lx.1965" "Lx.1966" "Lx.1967" "Lx.1968" "Lx.1969" "Lx.1970" "Lx.1971" "Lx.1972" "Lx.1973" "Lx.1974" "Lx.1975" "Lx.1976" "Lx.1977" "Lx.1978" "Lx.1979" "Lx.1980" "Lx.1981" "Lx.1982" "Lx.1983" "Lx.1984" "Lx.1985" "Lx.1986" "Lx.1987" "Lx.1988" "Lx.1989" "Lx.1990" "Lx.1991" "Lx.1992" "Lx.1993" "Lx.1994" "Lx.1995" "Lx.1996" "Lx.1997" "Lx.1998" "Lx.1999" "Lx.2000" "Lx.2001" "Lx.2002" "Lx.2003" "Lx.2004" "Lx.2005" "Lx.2006" "Lx.2007" "Lx.2008" "Lx.2009" "Lx.2010" "Lx.2011" "Lx.2012" "Lx.2013" "Lx.2014" "Lx.2015" "Lx.2016" "Lx.2017" "Lx.2018" "Lx.2019" "Lx.2020" "Lx.2021" "Lx.2022" "Lx.2023"
"1" 0 95139 94765 95092 95049 95130 95310 95567 95532 95637 95887 96085 96178 96280 96164 96705 96761 96771 96962 96977 97006 97109 97228 97292 97319 97325 97335 97381 97401 97495 97502 97511 97547 97611 97674 97771 97785 97852 97909 98115 98211 98272 98323 98436 98523 98605 98669 98718 98765 98852 98881 98933 98949 98942 98985 99007 99013 99013 99062 99105 99165 99181 99218 99261 99284 99293 99296 99308 99319 99344 99333 99327 99339 99329 99336 99336 99360 99380 99418 99434 99438 99441 99454 99451 99453 99462 99471 99479 99508 99491 99478 99491
"2" 1 93047 92236 92982 92893 93084 93450 93981 93946 94142 94605 94913 95089 95271 95109 95932 96023 96042 96310 96333 96373 96520 96690 96778 96818 96825 96841 96903 96927 97055 97068 97075 97127 97209 97286 97415 97434 97521 97595 97826 97930 97994 98056 98178 98276 98365 98435 98494 98541 98643 98675 98735 98755 98747 98797 98822 98827 98828 98885 98934 99006 99022 99066 99115 99144 99154 99159 99174 99186 99214 99203 99197 99211 99199 99210 99208 99234 99260 99304 99322 99328 99330 99348 99342 99345 99355 99367 99375 99409 99389 99371 99386
"3" 2 92364 91483 92333 92240 92475 92888 93519 93522 93735 94265 94553 94771 94994 94855 95704 95812 95841 96118 96140 96179 96341 96527 96621 96668 96671 96691 96757 96778 96916 96934 96935 96992 97078 97151 97291 97310 97403 97483 97717 97820 97886 97955 98082 98181 98270 98340 98408 98452 98558 98595 98656 98681 98673 98724 98751 98756 98760 98819 98869 98945 98961 99006 99057 99091 99104 99111 99125 99139 99168 99159 99153 99169 99154 99170 99166 99192 99221 99265 99285 99291 99293 99315 99306 99310 99320 99331 99341 99376 99355 99331 99346
"4" 3 91995 91089 91977 91891 92146 92589 93264 93295 93515 94065 94340 94575 94821 94697 95556 95669 95708 95997 96015 96050 96223 96419 96517 96568 96572 96588 96659 96676 96821 96841 96840 96898 96987 97060 97201 97222 97317 97398 97636 97738 97806 97880 98012 98110 98200 98269 98342 98387 98498 98538 98598 98630 98620 98670 98697 98703 98711 98772 98822 98901 98914 98962 99016 99052 99068 99077 99089 99106 99134 99127 99120 99140 99123 99141 99138 99163 99193 99238 99258 99264 99268 99290 99281 99285 99295 99305 99319 99353 99330 99303 99317
"5" 4 91725 90810 91716 91642 91906 92371 93073 93131 93356 93912 94181 94427 94680 94571 95445 95556 95603 95903 95919 95952 96129 96336 96437 96489 96495 96509 96581 96595 96745 96769 96766 96823 96913 96988 97129 97152 97247 97328 97569 97673 97740 97817 97955 98052 98147 98214 98288 98335 98449 98492 98551 98590 98578 98627 98654 98663 98671 98736 98785 98866 98878 98927 98985 99020 99039 99051 99063 99081 99108 99102 99094 99117 99101 99120 99116 99141 99172 99217 99238 99243 99248 99271 99261 99265 99276 99286 99302 99335 99311 99282 99297
"6" 5 91513 90589 91507 91441 91710 92197 92916 92990 93225 93785 94051 94304 94555 94461 95350 95463 95513 95824 95827 95870 96052 96266 96371 96422 96428 96444 96513 96528 96682 96709 96705 96759 96850 96924 97068 97089 97186 97268 97508 97619 97681 97765 97904 98003 98101 98167 98242 98294 98407 98455 98513 98556 98544 98593 98619 98628 98639 98705 98753 98838 98850 98899 98958 98994 99016 99028 99040 99060 99086 99081 99074 99098 99082 99100 99097 99124 99156 99201 99221 99226 99232 99254 99245 99250 99261 99270 99288 99320 99295 99264 99279
"7" 6 91331 90401 91324 91264 91541 92047 92779 92862 93106 93672 93932 94190 94441 94359 95260 95380 95433 95752 95740 95793 95987 96203 96309 96359 96366 96385 96451 96468 96624 96653 96649 96704 96795 96867 97013 97031 97131 97213 97454 97569 97630 97718 97859 97958 98056 98124 98201 98257 98370 98421 98480 98524 98513 98563 98586 98598 98612 98677 98726 98813 98825 98875 98936 98970 98994 99007 99020 99040 99068 99063 99055 99080 99065 99083 99081 99109 99142 99188 99206 99214 99218 99241 99231 99236 99247 99257 99274 99306 99280 99248 99264
"8" 7 91165 90231 91156 91100 91388 91910 92658 92744 92994 93566 93820 94080 94338 94263 95176 95299 95358 95685 95671 95718 95924 96148 96252 96302 96308 96330 96395 96411 96571 96602 96596 96653 96745 96816 96964 96980 97080 97164 97406 97520 97582 97673 97817 97917 98017 98085 98164 98221 98335 98387 98449 98494 98485 98535 98557 98571 98586 98652 98703 98791 98801 98853 98915 98948 98975 98987 99002 99023 99052 99047 99039 99064 99050 99069 99066 99096 99129 99176 99194 99201 99205 99228 99218 99223 99235 99245 99262 99295 99266 99235 99251
"9" 8 91012 90076 91001 90948 91248 91784 92547 92636 92888 93465 93715 93973 94243 94173 95099 95222 95283 95620 95614 95653 95860 96092 96200 96251 96254 96278 96344 96359 96524 96555 96550 96605 96699 96769 96919 96932 97033 97118 97361 97476 97537 97632 97779 97881 97981 98050 98131 98186 98303 98356 98419 98465 98459 98509 98529 98544 98559 98627 98680 98768 98778 98832 98893 98928 98956 98969 98984 99007 99037 99031 99024 99048 99035 99054 99052 99082 99116 99163 99181 99188 99193 99216 99206 99210 99223 99234 99250 99284 99254 99223 99239
"10" 9 90870 89932 90856 90806 91120 91667 92442 92535 92789 93370 93613 93870 94151 94087 95027 95150 95211 95555 95563 95597 95802 96035 96146 96204 96204 96230 96294 96312 96480 96511 96506 96560 96655 96726 96877 96888 96987 97075 97318 97435 97496 97593 97744 97846 97946 98017 98099 98154 98272 98326 98392 98439 98432 98484 98502 98518 98531 98604 98658 98745 98757 98811 98871 98909 98938 98952 98967 98991 99021 99015 99009 99033 99020 99040 99038 99069 99103 99151 99169 99177 99180 99203 99194 99197 99211 99222 99239 99273 99243 99210 99227
