"Age" "ASFR.1933" "ASFR.1934" "ASFR.1935" "ASFR.1936" "ASFR.1937" "ASFR.1938" "ASFR.1939" "ASFR.1940" "ASFR.1941" "ASFR.1942" "ASFR.1943" "ASFR.1944" "ASFR.1945" "ASFR.1946" "ASFR.1947" "ASFR.1948" "ASFR.1949" "ASFR.1950" "ASFR.1951" "ASFR.1952" "ASFR.1953" "ASFR.1954" "ASFR.1955" "ASFR.1956" "ASFR.1957" "ASFR.1958" "ASFR.1959" "ASFR.1960" "ASFR.1961" "ASFR.1962" "ASFR.1963" "ASFR.1964" "ASFR.1965" "ASFR.1966" "ASFR.1967" "ASFR.1968" "ASFR.1969" "ASFR.1970" "ASFR.1971" "ASFR.1972" "ASFR.1973" "ASFR.1974" "ASFR.1975" "ASFR.1976" "ASFR.1977" "ASFR.1978" "ASFR.1979" "ASFR.1980" "ASFR.1981" "ASFR.1982" "ASFR.1983" "ASFR.1984" "ASFR.1985" "ASFR.1986" "ASFR.1987" "ASFR.1988" "ASFR.1989" "ASFR.1990" "ASFR.1991" "ASFR.1992" "ASFR.1993" "ASFR.1994" "ASFR.1995" "ASFR.1996" "ASFR.1997" "ASFR.1998" "ASFR.1999" "ASFR.2000" "ASFR.2001" "ASFR.2002" "ASFR.2003" "ASFR.2004" "ASFR.2005" "ASFR.2006" "ASFR.2007" "ASFR.2008" "ASFR.2009" "ASFR.2010" "ASFR.2011" "ASFR.2012" "ASFR.2013" "ASFR.2014" "ASFR.2015" "ASFR.2016" "ASFR.2017" "ASFR.2018" "ASFR.2019" "ASFR.2020" "ASFR.2021" "ASFR.2022" "ASFR.2023"
"1" 12 4e-05 2e-05 2e-05 4e-05 6e-05 7e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00014 0.00017 0.00032 0.00015 0.00014 0.00017 0.00018 0.00015 0.00018 0.00015 0.00015 0.00015 0.00016 0.00014 0.00015 0.00015 0.00019 0.00016 0.00018 0.00017 0.00017 0.00029 0.00023 0.00024 0.00018 0.00015 0.00017 0.00015 0.00015 0.00014 0.00012 0.00013 0.00012 0.00012 1e-04 0 9e-05 8e-05 7e-05 7e-05 7e-05 6e-05 6e-05 5e-05 4e-05 3e-05 4e-05 3e-05 3e-05 3e-05 3e-05 3e-05 3e-05 3e-05 4e-05 3e-05
"2" 13 0.00044 4e-04 0.00044 0.00036 0.00042 0.00042 0.00015 0.00015 0.00016 0.00017 0.00018 0.00017 0.00018 0.00021 0.00026 0.00028 0.00028 0.00028 0.00027 0.00026 0.00028 0.00031 0.00027 0.00028 0.00028 0.00029 0.00028 0.00026 0.00024 0.00026 0.00026 0.00027 0.00025 0.00026 0.00026 0.00088 0.00081 0.00091 0.00087 0.00093 0.001 0.00096 0.00101 0.00095 0.00094 0.00089 0.00098 0.00091 0.00089 0.00089 0.00092 0.00096 0.00099 0.00106 0.00116 0.00113 0.00124 0.00121 0.00122 0.00122 0.00123 0.00115 0.00109 0.00098 0.00088 0.00084 0.00076 0.00072 0.00064 0.00059 0.00019 0.00051 0.00052 0.00051 0.00045 0.00043 0.00038 0.00034 3e-04 0.00028 0.00022 0.00019 0.00019 0.00017 0.00015 0.00013 0.00014 0.00014 0.00015 0.00015 0.00014
"3" 14 0.00177 0.00198 0.00209 0.00197 0.00207 0.00221 0.00262 0.00257 0.00273 0.00286 0.00304 0.00295 0.00303 0.003 0.00396 0.00445 0.00447 0.00447 0.00447 0.00428 0.00444 0.00494 0.00457 0.0046 0.00457 0.00451 0.00461 0.00446 0.0039 0.00394 0.00409 0.00419 0.00405 0.00414 0.00426 0.00386 0.00429 0.00457 0.00456 0.00473 0.00498 0.00486 0.00486 0.00464 0.00454 0.00438 0.00446 0.00448 0.00438 0.00452 0.00438 0.00435 0.00452 0.00478 0.00505 0.00538 0.00565 0.00579 0.00574 0.00577 0.00568 0.00571 0.0053 0.00474 0.00428 0.004 0.00375 0.00347 0.00315 0.00292 0.00302 0.0026 0.00257 0.00247 0.00247 0.00231 0.00204 0.00182 0.00161 0.00149 0.00126 0.00112 0.001 0.00091 0.00077 7e-04 0.00069 0.00067 0.00068 0.00066 0.00067
"4" 15 0.00672 0.00715 0.00772 0.00732 0.00769 0.00769 0.00903 0.00894 0.00949 0.01008 0.01058 0.00992 0.00983 0.00826 0.0115 0.01278 0.01337 0.01352 0.01423 0.01341 0.01365 0.01463 0.01479 0.01485 0.01502 0.01385 0.01459 0.01432 0.01383 0.01204 0.01233 0.01237 0.01247 0.01247 0.01242 0.01307 0.01373 0.01504 0.01542 0.01627 0.01661 0.01607 0.01598 0.01504 0.01483 0.014 0.01403 0.01442 0.01394 0.01387 0.01395 0.0134 0.01366 0.01406 0.01472 0.01559 0.01675 0.01711 0.01773 0.01731 0.01748 0.01716 0.01655 0.01505 0.01368 0.01279 0.0119 0.0111 0.01013 0.00935 0.00897 0.00875 0.0085 0.00857 0.00867 0.00813 0.00753 0.00655 0.00578 0.00537 0.00464 0.00396 0.00368 0.00321 0.00276 0.00244 0.0023 0.00225 0.0021 0.00208 0.00209
"5" 16 0.01875 0.01991 0.02046 0.02092 0.02192 0.02223 0.02368 0.02365 0.02495 0.02657 0.02756 0.02502 0.02437 0.02295 0.03111 0.0349 0.0365 0.03703 0.03862 0.03811 0.03874 0.04056 0.04038 0.0434 0.04357 0.04071 0.03912 0.03949 0.03934 0.03669 0.03337 0.03379 0.03318 0.03292 0.03295 0.03278 0.03368 0.03707 0.0367 0.03815 0.03767 0.03634 0.03535 0.03402 0.03303 0.03101 0.03091 0.03116 0.03047 0.03078 0.03039 0.03004 0.02966 0.0296 0.03049 0.03192 0.03477 0.03609 0.03709 0.0367 0.03635 0.03643 0.03451 0.0323 0.02992 0.02845 0.02644 0.02505 0.02285 0.02151 0.02051 0.02043 0.0195 0.0199 0.01997 0.01935 0.01781 0.01592 0.01406 0.01288 0.01106 0.00989 0.00898 0.00793 0.00696 0.00644 0.00579 0.00545 0.00486 0.00479 0.00492
"6" 17 0.03846 0.04062 0.04108 0.03999 0.04449 0.04581 0.04588 0.04617 0.04848 0.05191 0.05325 0.04714 0.04518 0.04523 0.06562 0.06987 0.07179 0.07172 0.07681 0.07568 0.07805 0.07933 0.08006 0.08374 0.08739 0.08395 0.07988 0.07659 0.07666 0.0736 0.07175 0.06551 0.06377 0.06249 0.06164 0.06076 0.06114 0.06482 0.06334 0.0637 0.06223 0.05994 0.05705 0.05343 0.05373 0.05119 0.05143 0.0517 0.0503 0.05047 0.04981 0.04917 0.05008 0.04855 0.04898 0.05107 0.05515 0.0581 0.06032 0.0589 0.05897 0.05848 0.05671 0.05319 0.0514 0.04872 0.04592 0.04435 0.04087 0.03845 0.03707 0.03647 0.03593 0.03666 0.03634 0.03552 0.03296 0.02931 0.02602 0.0237 0.02091 0.01882 0.01716 0.01538 0.01373 0.01265 0.01193 0.01078 0.00983 0.00974 0.00956
"7" 18 0.06586 0.06957 0.06953 0.06906 0.07084 0.07606 0.07029 0.07128 0.07488 0.08104 0.08232 0.07208 0.06803 0.08273 0.10991 0.11551 0.11546 0.1151 0.12411 0.12429 0.12895 0.13041 0.12962 0.13816 0.14135 0.13945 0.13649 0.13056 0.12561 0.12272 0.11785 0.11352 0.10292 0.10107 0.09664 0.09511 0.09528 0.09817 0.09219 0.08811 0.08386 0.08098 0.07785 0.07327 0.0731 0.07251 0.07248 0.07352 0.0714 0.07182 0.07022 0.06992 0.07144 0.07185 0.07011 0.07209 0.07706 0.08251 0.08573 0.08448 0.08265 0.08179 0.07924 0.07598 0.07279 0.07182 0.06865 0.06735 0.06376 0.06002 0.05816 0.05734 0.0567 0.05913 0.05916 0.0566 0.05319 0.04773 0.04318 0.04033 0.03643 0.03363 0.0308 0.02848 0.02612 0.02394 0.02264 0.02064 0.0191 0.01853 0.01798
"8" 19 0.08719 0.09155 0.09187 0.09069 0.09389 0.09482 0.09311 0.09514 0.10083 0.11125 0.11201 0.09918 0.09232 0.11996 0.15668 0.15356 0.15811 0.15479 0.16999 0.17066 0.17836 0.18566 0.18681 0.19641 0.20286 0.2014 0.20178 0.19895 0.19197 0.18167 0.17689 0.16687 0.15344 0.14249 0.13617 0.13122 0.12915 0.12935 0.11896 0.10604 0.09888 0.09604 0.09217 0.08811 0.08832 0.08672 0.08982 0.09038 0.08804 0.08667 0.08453 0.08398 0.08649 0.08627 0.08614 0.0873 0.09212 0.09727 0.10046 0.10061 0.09921 0.09794 0.09557 0.09329 0.09078 0.0905 0.0898 0.08897 0.08677 0.08381 0.08124 0.08012 0.07975 0.08326 0.08395 0.08021 0.07531 0.06924 0.06445 0.06193 0.05739 0.05367 0.05057 0.04639 0.04414 0.04097 0.03939 0.03601 0.03391 0.03268 0.03139
"9" 20 0.10136 0.10749 0.10786 0.1068 0.10953 0.11394 0.1113 0.11505 0.12374 0.13957 0.13937 0.12642 0.11642 0.15051 0.18776 0.18316 0.18023 0.18146 0.19518 0.20076 0.20799 0.21676 0.22241 0.23266 0.23729 0.23713 0.24175 0.23561 0.23028 0.21847 0.20683 0.19621 0.17555 0.16763 0.15447 0.14887 0.14609 0.146 0.13181 0.11567 0.10662 0.10492 0.10109 0.09775 0.0994 0.09675 0.09927 0.10307 0.0997 0.09886 0.09508 0.09469 0.09673 0.09655 0.09611 0.09881 0.10165 0.10555 0.10828 0.10858 0.10757 0.10558 0.1029 0.10152 0.09992 0.10113 0.09909 0.10019 0.09643 0.09444 0.09396 0.09244 0.09183 0.09555 0.09576 0.09294 0.0873 0.07975 0.0751 0.07285 0.06954 0.06688 0.06353 0.05925 0.05615 0.05384 0.05182 0.04804 0.04539 0.04383 0.04159
"10" 21 0.10639 0.11296 0.11421 0.11575 0.11773 0.12086 0.11949 0.12413 0.13443 0.154 0.15315 0.14183 0.12954 0.17292 0.20254 0.19529 0.19633 0.1901 0.21032 0.21443 0.22163 0.23429 0.2415 0.25396 0.25958 0.25522 0.25919 0.25773 0.25418 0.24437 0.2319 0.21824 0.19589 0.18333 0.1743 0.16502 0.16409 0.16247 0.14734 0.12561 0.11613 0.11417 0.10998 0.10672 0.10972 0.10711 0.10898 0.11185 0.11038 0.10866 0.10463 0.1029 0.10522 0.104 0.10454 0.10606 0.11078 0.11264 0.11371 0.11311 0.1116 0.1093 0.10713 0.10655 0.10554 0.10633 0.10608 0.10545 0.10234 0.09903 0.09892 0.0983 0.09791 0.10081 0.10103 0.09677 0.092 0.08425 0.08009 0.0779 0.07518 0.07361 0.07099 0.06714 0.06432 0.06111 0.05987 0.05614 0.0538 0.05218 0.04997
