"Year" "Age" "Female" "Male"
"10213" "2024" 0 1778089.23 1856482.65
"10214" "2024" 1 1816052.62 1894873.87
"10215" "2024" 2 1812299.21 1893055.92
"10216" "2024" 3 1825438.5 1908769.9
"10217" "2024" 4 1874089.29 1956658.99
"10218" "2024" 5 1909006.09 1993212.35
"10219" "2024" 6 1946390.78 2036254.65
"10220" "2024" 7 1989723.03 2080785.86
"10221" "2024" 8 2023928.82 2113629.5
"10222" "2024" 9 2026375 2121438.1
"10223" "2024" 10 2018195.68 2113979.35
"10224" "2024" 11 2015690.81 2110221.15
"10225" "2024" 12 2023504.17 2126276.3
"10226" "2024" 13 2054024.59 2159474.16
"10227" "2024" 14 2098750.84 2202232.23
"10228" "2024" 15 2160703.49 2268104.63
"10229" "2024" 16 2199650.23 2311691.42
"10230" "2024" 17 2185754.65 2295573.58
"10231" "2024" 18 2166736.58 2272340.06
"10232" "2024" 19 2168757.21 2272839.56
"10233" "2024" 20 2167588.99 2268563.33
"10234" "2024" 21 2155308.59 2251572.04
"10235" "2024" 22 2173779.82 2266838.08
"10236" "2024" 23 2198511.05 2290252.15
"10237" "2024" 24 2186962.73 2273833.21
"10238" "2024" 25 2173292.82 2251262.33
"10239" "2024" 26 2179087.72 2246121.58
"10240" "2024" 27 2191604.76 2252250.6
"10241" "2024" 28 2218480.05 2277845.01
"10242" "2024" 29 2259274.37 2320078.61
"10243" "2024" 30 2297941.44 2361427.81
"10244" "2024" 31 2342742.83 2400763
"10245" "2024" 32 2388097.88 2437102.28
"10246" "2024" 33 2409095.83 2451808.04
"10247" "2024" 34 2375974.53 2417544.15
"10248" "2024" 35 2317090.58 2359428.11
"10249" "2024" 36 2278101.98 2324172.18
"10250" "2024" 37 2260894.48 2313318.27
"10251" "2024" 38 2259060.62 2309649.41
"10252" "2024" 39 2235345.27 2277440.27
"10253" "2024" 40 2227304.61 2263062.28
"10254" "2024" 41 2239240.17 2270578.68
"10255" "2024" 42 2219541.62 2245791.14
"10256" "2024" 43 2197228.79 2219109.42
"10257" "2024" 44 2148877.45 2161987.04
"10258" "2024" 45 2082068.75 2086501.74
"10259" "2024" 46 2046950.71 2043514.15
"10260" "2024" 47 2000221.93 1990369.21
"10261" "2024" 48 1974672.13 1962069.09
"10262" "2024" 49 1965746.32 1948899.78
"10263" "2024" 50 1959200.68 1938068.55
"10264" "2024" 51 2016064.9 1994995.39
"10265" "2024" 52 2117366.06 2102764.28
"10266" "2024" 53 2157105.79 2144120.71
"10267" "2024" 54 2100626.82 2081809.69
"10268" "2024" 55 2040138.19 2014156.14
"10269" "2024" 56 2025073.56 1986562.89
"10270" "2024" 57 2046060.87 1994760.99
"10271" "2024" 58 2103882.72 2036240.8
"10272" "2024" 59 2172029.46 2088110.29
"10273" "2024" 60 2198622.12 2104335.33
"10274" "2024" 61 2203573.15 2098385.02
"10275" "2024" 62 2205344.03 2089736.68
"10276" "2024" 63 2183313.34 2058324.22
"10277" "2024" 64 2144653.84 2007562.1
"10278" "2024" 65 2117674.64 1966215.36
"10279" "2024" 66 2091159.35 1926749.32
"10280" "2024" 67 2031078.5 1850276.1
"10281" "2024" 68 1966418.97 1771213.22
"10282" "2024" 69 1911208.29 1703727.15
"10283" "2024" 70 1839119.3 1621968.22
"10284" "2024" 71 1764651.84 1542549.95
"10285" "2024" 72 1688760.82 1459195.58
"10286" "2024" 73 1607582.92 1372821.64
"10287" "2024" 74 1542467.07 1307018.29
"10288" "2024" 75 1495763.5 1261114.08
"10289" "2024" 76 1502445.75 1271212.96
"10290" "2024" 77 1307578.23 1091610.67
"10291" "2024" 78 1063770.45 861210.09
"10292" "2024" 79 1020222.72 812626.58
"10293" "2024" 80 1000572.77 784855.15
"10294" "2024" 81 921418.94 708762.71
"10295" "2024" 82 796959.16 597046.33
"10296" "2024" 83 711965.9 518319.05
"10297" "2024" 84 643958 457486.19
"10298" "2024" 85 586879.46 406164.23
"10299" "2024" 86 523911.14 351566.6
"10300" "2024" 87 462107.2 301653.59
"10301" "2024" 88 413502.24 261120.33
"10302" "2024" 89 356472.78 217277.93
"10303" "2024" 90 312937.27 192525.27
"10304" "2024" 91 277593.83 162317.1
"10305" "2024" 92 233137.49 128390.25
"10306" "2024" 93 199681.66 102509.75
"10307" "2024" 94 156873.27 75032.58
"10308" "2024" 95 126654.16 55929.34
"10309" "2024" 96 98633.34 40074.12
"10310" "2024" 97 73185.54 27099.78
"10311" "2024" 98 52988.57 17813.7
"10312" "2024" 99 37799.33 11668.56
"10313" "2024" 100 25047.66 7094.34
"10314" "2024" 101 16246.91 4122.9
"10315" "2024" 102 10596.45 2404.15
"10316" "2024" 103 6229.55 1242.15
"10317" "2024" 104 3337.2 618.51
"10318" "2024" 105 1905.55 330.02
"10319" "2024" 106 1025.55 158.37
"10320" "2024" 107 544.17 75.07
"10321" "2024" 108 281.69 36.79
"10322" "2024" 109 139.18 18.67
"10323" "2024" 110 119.2 20.87
