"Age" "Female" "Male"
"1" "0" 984472.26 1015361.55
"2" "1" 1040496.02 1064088.29
"3" "2" 1093043.81 1117527.14
"4" "3" 1107994.31 1135046.59
"5" "4" 1130624.43 1179513.62
"6" "5" 1168930.56 1228225.14
"7" "6" 1190706.56 1238800.33
"8" "7" 1203816.58 1245575.51
"9" "8" 1224285.2 1255721.28
"10" "9" 1230968.73 1254639.67
"11" "10" 1243608.1 1262739.94
"12" "11" 1249850.28 1267993.62
"13" "12" 1228302.26 1245293.97
"14" "13" 1206337.89 1218516.85
"15" "14" 1188784.61 1197005.32
"16" "15" 1176488.92 1180812.04
"17" "16" 1170673.13 1170300.59
"18" "17" 1167275.44 1161957.37
"19" "18" 1162654.19 1152703.87
"20" "19" 1156408.23 1142105.21
"21" "20" 1147875.3 1129141.23
"22" "21" 1136672 1113535.47
"23" "22" 1123857.96 1096584.79
"24" "23" 1110709.37 1079680.91
"25" "24" 1096608.03 1062812.95
"26" "25" 1079965.15 1045562.6
"27" "26" 1060496.39 1027992.05
"28" "27" 1039616.1 1010508.45
"29" "28" 1018693.99 993583.66
"30" "29" 998073.52 977303.7
"31" "30" 978027.71 961582.96
"32" "31" 958912.65 946540.27
"33" "32" 940299.53 932086.07
"34" "33" 920939.68 917262.4
"35" "34" 903171.39 904394.37
"36" "35" 892446.19 898986.17
"37" "36" 889940.52 902123.05
"38" "37" 891248.73 909205.25
"39" "38" 893244.22 916838.05
"40" "39" 892355.5 921491.37
"41" "40" 881428.19 916325.4
"42" "41" 858248.86 899079.39
"43" "42" 828830.48 875488.71
"44" "43" 798425.74 850676.32
"45" "44" 768700.87 825753.84
"46" "45" 742409.96 802387.28
"47" "46" 720698.67 781340.15
"48" "47" 700887.74 760812.69
"49" "48" 680400.85 739017.82
"50" "49" 659476.01 716413.75
"51" "50" 638846.89 694083.67
"52" "51" 618614.82 672324.86
"53" "52" 598721.12 650785.85
"54" "53" 579282.36 629342.55
"55" "54" 559732.35 607413.91
"56" "55" 538811.14 583674.98
"57" "56" 516201.91 557859.44
"58" "57" 492887.59 531131.07
"59" "58" 469598.7 504327.23
"60" "59" 446910.33 478214.86
"61" "60" 426018.75 454313.15
"62" "61" 407154.01 432971.91
"63" "62" 389279.59 412937.44
"64" "63" 371784.18 393244.62
"65" "64" 354238.67 373363.18
"66" "65" 335721.79 352288.85
"67" "66" 316022.41 329728.38
"68" "67" 295930.98 306697.61
"69" "68" 276018.03 283952.98
"70" "69" 256669.03 262050.89
"71" "70" 238692.39 242088.59
"72" "71" 222258.51 224299.33
"73" "72" 206749.55 207769.04
"74" "73" 191679.07 191748.31
"75" "74" 178287.08 177279.06
"76" "75" 163503.3 161153.49
"77" "76" 145929.25 142219.69
"78" "77" 128871.83 124013.37
"79" "78" 112846.89 107013.04
"80" "79" 98255.1 91595.61
"81" "80" 87364.61 77763.31
"82" "81" 75387.05 65757.42
"83" "82" 64697.36 55255.48
"84" "83" 54926.81 45896
"85" "84" 45993.83 37624.48
"86" "85" 37970.97 30352.53
"87" "86" 30902.47 24145.71
"88" "87" 24818.96 18912.33
"89" "88" 19703.42 14571.39
"90" "89" 15430.51 11051.13
"91" "90" 11923.33 8242.66
"92" "91" 9151.11 6081.31
"93" "92" 6920.73 4438.31
"94" "93" 5157.54 3214.72
"95" "94" 3804.99 2302.45
"96" "95" 2789.98 1627.14
"97" "96" 2023.58 1141.24
"98" "97" 1491.69 826.12
"99" "98" 1126.22 648.77
"100" "99" 897.78 501.93
"101" "100" 648.47 360.81
"102" "101" 446.6 246.3
"103" "102" 302.33 165.24
"104" "103" 202.59 108.35
"105" "104" 133.94 71
"106" "105" 86.67 45.5
"107" "106" 54.97 29.45
"108" "107" 34.97 18.61
"109" "108" 22.35 10.85
"110" "109" 13.23 6.58
"111" "110+" 14.48 7.02
